Bank_Name,API_Abb,API_Link,API_Name,SCH_Link,SCH_Name,Perm_SCH_Table,Version,API_Name,,OB,SQ1,https://sqm.openbanking.me.uk/cma-service-quality-metrics/v1.0/product-type/pca/area/GB/export-type/aggregated/wave/
BOI,SME,https://openapi.bankofireland.com/open-banking,unsecured-sme-loans,https://raw.githubusercontent.com/OpenBankingUK/opendata-api-spec-compiled/master,sme_loan,SME_Schema,v1.2,unsecured-sme-loans,,RBS,FCA - PRD,https://openapi.rbs.co.uk/open-banking/v1.0/fca-service-metrics/bca
BOI,CCC,https://openapi.bankofireland.com/open-banking,commercial-credit-cards,https://raw.githubusercontent.com/OpenBankingUK/opendata-api-spec-compiled/master,commercial_credit_card,CCC_Schema,v1.2,commercial-credit-cards,,,,
BOS,ATM,https://api.bankofscotland.co.uk/open-banking,atms,https://raw.githubusercontent.com/OpenBankingUK/opendata-api-spec-compiled/master,atm,ATM_Schema,v1.2,atms,,Natwest,FCA - PRD,https://openapi.natwest.com/open-banking/v1.0/fca-service-metrics/pca
BOS,BCH,https://api.bankofscotland.co.uk/open-banking,branches,https://raw.githubusercontent.com/OpenBankingUK/opendata-api-spec-compiled/master,branch,BCH_Schema,v1.2,branches,,Natwest,FCA - PRD,https://openapi.natwest.com/open-banking/v1.0/fca-service-metrics/bca
BOS,PCA,https://api.bankofscotland.co.uk/open-banking,personal-current-accounts,https://raw.githubusercontent.com/OpenBankingUK/opendata-api-spec-compiled/master,personal_current_account,PCA_Schema,v1.2,personal-current-accounts,,,,
BOS,BCA,https://api.bankofscotland.co.uk/open-banking,business-current-accounts,https://raw.githubusercontent.com/OpenBankingUK/opendata-api-spec-compiled/master,business_current_account,BCA_Schema,v1.2,business-current-accounts,,Ulster Bank,FCA - PRD,https://openapi.ulsterbank.co.uk/open-banking/v1.0/fca-service-metrics/pca
BOS,SME,https://api.bankofscotland.co.uk/open-banking,unsecured-sme-loans,https://raw.githubusercontent.com/OpenBankingUK/opendata-api-spec-compiled/master,sme_loan,SME_Schema,v1.2,unsecured-sme-loans,,Ulster Bank,FCA - PRD,https://openapi.ulsterbank.co.uk/open-banking/v1.0/fca-service-metrics/bca
BOS,CCC,https://api.bankofscotland.co.uk/open-banking,commercial-credit-cards,https://raw.githubusercontent.com/OpenBankingUK/opendata-api-spec-compiled/master,commercial_credit_card,CCC_Schema,v1.2,commercial-credit-cards,,,,
Barclays,ATM,https://atlas.api.barclays/open-banking,atms,https://raw.githubusercontent.com/OpenBankingUK/opendata-api-spec-compiled/master,atm,ATM_Schema,v1.3,atms,,NBS,OD - TEST,https://nationwide-building-society-stg.apigee.net/open-banking/v2.2/atms
Barclays,BCH,https://atlas.api.barclays/open-banking,branches,https://raw.githubusercontent.com/OpenBankingUK/opendata-api-spec-compiled/master,branch,BCH_Schema,v1.3,branches,,NBS,OD - TEST,https://nationwide-building-society-stg.apigee.net/open-banking/v2.2/personal-current-accounts
Barclays,PCA,https://atlas.api.barclays/open-banking,personal-current-accounts,https://raw.githubusercontent.com/OpenBankingUK/opendata-api-spec-compiled/master,personal_current_account,PCA_Schema,v1.3,personal-current-accounts,,NBS,OD - TEST,https://nationwide-building-society-stg.apigee.net/open-banking/v2.2/branches
